Year,Month,OverallCPI,OverallInflation,FoodCPI,FoodInflation,NonFoodCPI,NonFoodInflation
2025,May,231.2,27.7,270.5,32.7,185.6,20
2025,Apr,229.9,29.2,270,35.8,183.4,19.4
2025,Mar,236.8,30.5,283.9,37.7,182.1,19.2
2025,Feb,235,30.7,282.6,38.5,179.6,18.5
2025,Jan,226.3,28.5,271.1,36,174.2,16.9
2024,Dec,216.1,28.1,255.7,35.6,170.1,16.8
2024,Nov,206.7,27,240.7,33.7,167.3,17.2
2024,Oct,200.3,32.4,231.1,40.3,164.4,21.2
2024,Sep,196.6,34.3,226.1,43.5,162.4,21.8
2024,Aug,193,33.9,220.6,42,161,22.7
2024,Jul,189.3,33.7,215.6,41.9,158.7,22.4
2024,Jun,185.5,33.3,210.1,41.5,156.8,22.2
2024,May,181.1,32.7,203.8,40.7,154.6,22.1
2024,Apr,177.9,32.3,198.8,39.9,153.6,22.4
2024,Mar,181.5,31.8,206.2,38.8,152.8,22.2
2024,Feb,179.8,33.5,204.1,42,151.6,22.1
2024,Jan,176,35,199.3,44.9,148.9,22
2023,Dec,168.7,34.5,188.5,43.5,145.7,22.8
2023,Nov,162.8,33.1,180,41.7,142.7,22.2
2023,Oct,151.3,26.9,164.7,34.5,135.6,17.6
2023,Sep,146.4,27.8,157.6,36.8,133.4,17.2
2023,Aug,144.2,28.6,155.4,39.4,131.2,16.1
2023,Jul,141.6,28.4,151.9,39.3,129.7,16
2023,Jun,139.1,27.3,148.5,37.2,128.3,16
2023,May,136.4,29.2,144.8,38.8,126.7,18.4
2023,Apr,134.5,28.8,142.1,37.9,125.6,18.5
2023,Mar,137.7,27,148.6,32.4,125,20.2
2023,Feb,134.7,26.7,143.8,31.7,124.2,20.5
2023,Jan,130.4,25.9,137.6,30.5,122.1,20.4
2022,Dec,125.4,25.4,131.3,31.3,118.6,18.6
2022,Nov,122.3,25.8,127,33.4,116.7,17.7
2022,Oct,119.2,26.7,122.5,34.5,115.4,18.6
2022,Sep,114.6,25.9,115.2,33.7,113.8,18.3
2022,Aug,112.2,25.5,111.4,33.4,113,18.2
2022,Jul,110.3,24.6,109,32.5,111.8,17.5
2022,Jun,109.3,23.5,108.2,31.2,110.6,16.6
2022,May,105.6,19.1,104.3,25.5,107,13.2
2022,Apr,104.4,15.7,103.1,19.5,105.9,12.2
2022,Mar,108.4,14.1,112.2,17.1,103.8,10.5
2022,Feb,106.4,13,109.2,15.3,102.8,10.1
2022,Jan,103.6,12.1,105.4,14.2,101.4,9.6
2021,Dec,147.1,11.5,167.6,13.6,130.2,9.5
2021,Nov,143,11.1,159.6,12.8,129.2,9.5
2021,Oct,138.4,9.8,152.6,11.8,126.7,7.8
2021,Sep,134,8.9,144.5,10.9,125.3,7.2
2021,Aug,131.5,8.4,140,9.7,124.5,7.2
2021,Jul,130.3,8.7,137.9,10.3,124,7.2
2021,Jun,130.2,9.1,138.3,11.1,123.5,7.2
2021,May,130.4,8.9,139.3,11,123.1,7.1
2021,Apr,132.8,9.2,144.6,11.5,123,7
